Intensity    Wavelength         Spectrum
   30        12590.20           XeI    
  250        12623.399          XeI    
   25        13544.15           XeI    
  200        13657.06           XeI    
  120        14142.44           XeI    
   80        14240.96           XeI    
   40        14364.99           XeI    
   14        14660.81           XeI    
  300        14732.816          XeI    
   10        15099.72           XeI    
  250        15418.39           XeI    
   15        15557.13           XeI    
   25        15979.54           XeI    
   10        16039.90           XeI    
  100        16053.28           XeI    
   12        16554.49           XeI    
  150        16728.15           XeI    
  150        17325.77           XeI    
   40        18788.13           XeI    
   15        20187.19           XeI    
  300        20262.24           XeI    
   25        21470.09           XeI    
  120        23193.33           XeI    
   11        23279.54           XeI    
  200        24824.71           XeI    
   20        25145.84           XeI    
  200        26269.08           XeI    
  250        26510.86           XeI    
   25        28381.54           XeI    
   80        28582.25           XeI    
   30        29384.41           XeI    
   15        29448.06           XeI    
   10        29649.58           XeI    
   10        29813.62           XeI    
   60        30253.14           XeI    
  150        30475.46           XeI    
   10        30504.12           XeI    
   50        30794.18           XeI    
  600        31069.23           XeI    
   12        31336.01           XeI    
   60        31607.91           XeI    
   10        32293.08           XeI    
  200        32739.26           XeI    
  400        33666.69           XeI    
   15        34014.67           XeI    
   40        34335.27           XeI    
   15        34744.00           XeI    
  500        35070.26           XeI    
   11        35246.92           XeI    
   25        36209.21           XeI    
   15        36231.74           XeI    
   40        36508.36           XeI    
   80        36788.83           XeI    
   14        38685.98           XeI    
   20        38737.82           XeI    
   25        38939.60           XeI    
   12        39955.14           XeI    
