Intensity    Wavelength         Spectrum
  600         7948.176          ArI    
  600         8006.157          ArI    
  700         8014.786          ArI    
  600         8103.693          ArI    
 1000         8115.311          ArI    
  300         8264.522          ArI    
    1         8392.27           ArI    
  400         8408.210          ArI    
  600         8424.648          ArI    
  400         8521.442          ArI    
  130         8667.944          ArI    
    7         8771.860          ArII   
    5         8849.91           ArI    
    1         9075.394          ArI    
 1000         9122.967          ArI    
   15         9194.638          ArI    
  400         9224.499          ArI    
   11         9291.531          ArI    
   50         9354.220          ArI    
  700         9657.786          ArI    
  130         9784.503          ArI    
    5        10052.06           ArI    
    1        10332.72           ArI    
   30        10467.177          ArII   
   50        10470.054          ArI    
    5        10506.50           ArI    
    6        10673.565          ArI    
    2        10683.034          ArII   
    1        10733.87           ArI    
    1        10759.16           ArI    
    2        10812.896          ArII   
    1        11106.46           ArI    
   11        11488.109          ArI    
    6        11668.710          ArI    
    6        12112.326          ArI    
    1        12139.738          ArI    
    1        12343.393          ArI    
    6        12402.827          ArI    
    6        12439.321          ArI    
    3        12456.12           ArI    
    6        12487.663          ArI    
    4        12702.281          ArI    
    1        12733.418          ArI    
    6        12802.739          ArI    
    1        12933.195          ArI    
   14        12956.659          ArI    
    6        13008.264          ArI    
    6        13213.99           ArI    
    6        13228.107          ArI    
    3        13230.90           ArI    
   14        13272.64           ArI    
   30        13313.210          ArI    
   30        13367.111          ArI    
    1        13499.41           ArI    
   30        13504.191          ArI    
    1        13599.333          ArI    
   11        13622.659          ArI    
    6        13678.550          ArI    
   30        13718.577          ArI    
    6        14093.640          ArI    
    3        15046.50           ArI    
    1        15172.69           ArI    
    1        15989.49           ArI    
    1        16519.86           ArI    
   14        16940.58           ArI    
    1        20616.23           ArI    
    1        20986.11           ArI    
    1        23133.20           ArI    
    1        23966.52           ArI    
