Intensity     Wavelength         Spectrum
  200          5400.5618         NeI    
   50          5562.7662         NeI    
   50          5656.6588         NeI    
   50          5719.2248         NeI    
   50          5748.2985         NeI    
   70          5764.4188         NeI    
   50          5804.4496         NeI    
   50          5820.1558         NeI    
  200          5852.4879         NeI    
   50          5872.8275         NeI    
  100          5881.8952         NeI    
    5          5902.4623         NeI    
    5          5906.4294         NeI    
   50          5944.8342         NeI    
   50          5965.4710         NeI    
   50          5974.6273         NeI    
   60          5975.5340         NeI    
   15          5987.9074         NeI    
  100          6029.9969         NeI    
  100          6074.3377         NeI    
   30          6096.1631         NeI    
   10          6128.4499         NeI    
  100          6143.0626         NeI    
  100          6163.5939         NeI    
   15          6182.1460         NeI    
  100          6217.2812         NeI    
  100          6266.4950         NeI    
   10          6304.7889         NeI    
   30          6328.1646         NeI    
  100          6334.4278         NeI    
  100          6382.9917         NeI    
  200          6402.248          NeI    
  150          6506.5281         NeI    
   10          6532.8822         NeI    
  100          6598.9529         NeI    
   15          6652.0927         NeI    
   50          6678.2762         NeI    
    7          6717.0430         NeI    
 1000          6929.4673         NeI    
  300          7024.0504         NeI    
  800          7032.4131         NeI    
   20          7051.2923         NeI    
  100          7059.1074         NeI    
  800          7173.9381         NeI    
  150          7213.200          NeII   
  150          7235.188          NeII   
  800          7245.1666         NeI    
  150          7343.945          NeII   
   30          7472.4386         NeI    
  300          7488.8712         NeI    
  100          7492.102          NeII   
  150          7522.818          NeII   
  300          7535.7741         NeI    
  130          7544.0443         NeI    
    1          7724.6233         NeI    
  120          7740.738          NeII   
    2          7839.0529         NeI    
  120          7926.201          NeII   
    3          7927.1177         NeI    
   13          7936.9961         NeI    
   80          7943.1814         NeI    
   60          8082.4580         NeI    
  100          8084.345          NeII   
   40          8118.5492         NeI    
   12          8128.9108         NeI    
  170          8136.4054         NeI    
   30          8259.3790         NeI    
  100          8264.807          NeII   
   70          8266.0772         NeI    
   10          8267.1162         NeI    
  300          8300.3258         NeI    
  100          8314.995          NeII   
   50          8365.7466         NeI    
  100          8372.106          NeII   
  800          8377.6080         NeI    
   30          8417.1606         NeI    
  250          8418.4274         NeI    
   40          8463.3575         NeI    
   13          8484.4435         NeI    
  700          8495.3598         NeI    
   15          8544.6958         NeI    
   30          8571.3524         NeI    
  400          8591.2584         NeI    
  350          8634.6470         NeI    
   60          8647.0411         NeI    
  600          8654.3831         NeI    
   80          8655.5220         NeI    
  100          8668.256          NeII   
  130          8679.4925         NeI    
  150          8681.9211         NeI    
   30          8704.1116         NeI    
  100          8771.6563         NeI    
  600          8780.6226         NeI    
  400          8783.7533         NeI    
    6          8830.9072         NeI    
  300          8853.8668         NeI    
   20          8865.3063         NeI    
  150          8865.7552         NeI    
   60          8919.5006         NeI    
   20          8988.5564         NeI    
  100          9079.462          NeII   
  120          9148.6716         NeI    
   90          9201.7591         NeI    
   60          9220.0601         NeI    
   20          9221.5801         NeI    
   20          9226.6903         NeI    
    9          9275.5196         NeI    
  200          9287.563          NeII   
   80          9300.8527         NeI    
    8          9310.5839         NeI    
   30          9313.9726         NeI    
   70          9326.5068         NeI    
   15          9373.3078         NeI    
   50          9425.3788         NeI    
   30          9459.2095         NeI    
   50          9486.6818         NeI    
   60          9534.1629         NeI    
   30          9547.4049         NeI    
  120          9577.013          NeII   
  180          9665.4197         NeI    
  100          9808.860          NeII   
    4         10295.4174         NeI    
   80         10562.4075         NeI    
   60         10798.0429         NeI    
   90         10844.4772         NeI    
  300         11143.0200         NeI    
  500         11177.5240         NeI    
  150         11390.4339         NeI    
   90         11409.1343         NeI    
  300         11522.7459         NeI    
  150         11525.0194         NeI    
   90         11536.3445         NeI    
   30         11601.5366         NeI    
  130         11614.0807         NeI    
